urlImagem,imageAntes,imageDepois,urlTema
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/header/logo_tema.png,34911,20944,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/objetivo.png,33713,35360,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/objetivo.png,33713,35360,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/objetivo.png,33713,35360,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s5.jpg,68996,54446,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s7.jpg,709826,622119,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s10.jpg,103793,86700,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s14.jpg,80248,50641,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s15.png,22778,13251,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s20.jpg,333055,252303,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s23.png,126185,135325,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s24.png,47057,49477,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s25.png,46372,48820,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s26.jpg,408591,273727,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s28.png,42709,44829,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/ft_base.jpg,44700,26268,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s31.jpg,86605,65983,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s35.png,47856,50354,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s36.png,43435,45636,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s38.jpg,75601,52637,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s39.png,26205,27414,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s41.png,155734,165681,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s44.png,154688,163940,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s45.jpg,76732,50767,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s51.png,42787,44927,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s55.png,51670,54079,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
